model_name,ann
MIROC4h,0.972
ACCESS1-0,1.035
ACCESS1-3,1.082
IPSL-CM5B-LR,1.206
CanCM4,1.159
MIROC-ESM,1.19
HadGEM2-AO,0.965
CanESM2,1.149
MPI-ESM-P,1.317
MPI-ESM-MR,1.205
CSIRO-Mk3-6-0,1.584
CESM1-BGC,0.96
inmcm4,1.297
CESM1-FASTCHEM,0.937
BNU-ESM,1.086
CNRM-CM5-2,1.015
CCSM4,0.925
GFDL-CM2p1,1.186
GFDL-ESM2G,1.293
fio-esm,1.045
bcc-csm1-1-m,1.27
GFDL-ESM2M,1.093
NorESM1-M,1.106
CESM1-WACCM,1.032
IPSL-CM5A-MR,1.297
IPSL-CM5A-LR,1.241
GFDL-CM3,1.098
CNRM-CM5,1.013
MIROC-ESM-CHEM,1.177
MRI-ESM1,1.204
NorESM1-ME,1.074
MIROC5,0.927
MRI-CGCM3,1.215
MPI-ESM-LR,1.264
bcc-csm1-1,1.113
CESM1-CAM5,0.921
